Name,avg_F0,std_F0,max_F0,avg_E,std_E,max_E,DDK_rate,avgdur_DDK,reg_DDK,Sil_rate,Sil_avg_dur,Sil_std_dur
n8.wav,136.60075265286648,7.759803193901679,162.35322328778702,7.146886781628414,7.957570631838572,16.10547787688246,1.813524357899032,522.75,573.1571923892258,0.0,0.0,0.0
n3.wav,137.9953911198428,1.4447897158528018,140.7536179353987,12.918733015429364,8.414691371884865,15.521444344543141,0.45146726862302483,2183.5625,0.0,0.0,0.0,0.0
n13.wav,144.30898731163762,45.369025178050876,458.1230064085738,9.873309461846569,11.25774567136382,18.134013013332385,4.091199659066695,203.14583333333334,221.886967595866,0.0,0.0,0.0
a17.wav,136.8456545936823,25.214360399624038,210.7421148944607,4.231155977939755,7.12344872927464,16.872642704822212,1.890864248278697,315.61141304347825,283.3470659241776,0.6576919124447641,490.53125,147.39884309353482
n9.wav,142.9450997275428,9.100403296904133,170.1107539835671,9.11925608301501,10.337911944179872,17.127976974800816,5.382921458282358,125.5284090909091,12.398003288319861,0.0,0.0,0.0
n21.wav,137.08569424684268,18.77701168018166,168.57963433795328,8.801648080498675,11.337693274362234,18.78428293888418,2.4482301336325616,308.8541666666667,391.60401925836453,0.4080383556054269,193.9375,0.0
n0.wav,131.38545149125483,1.3258787791217137,135.38261638180796,12.397617870852745,10.924309702783223,17.37430886810221,0.26522560753240726,3731.375,0.0,0.0,0.0,0.0
n6.wav,135.83274356067648,6.996574556577511,177.57581139952387,7.32748843056643,8.4848216624492,17.43652359772336,6.002773020145176,141.38315217391303,112.31373666231985,0.0,0.0,0.0
n10.wav,145.5310862613444,8.31953384072333,170.644777952772,10.92780655397021,11.209443000561256,17.851517548231122,2.1714053063717174,433.859375,341.49489946033145,0.0,0.0,0.0
n23.wav,136.84576814896394,25.21443534318712,210.742159982474,4.232267306287495,7.124562097127184,16.873737003103905,1.890864248278697,315.61684782608694,283.3565993577257,0.6576919124447641,490.515625,147.37083774736226
n15.wav,137.78652904532106,14.105498300039686,165.89942919693073,8.159372722509483,10.35758826398242,17.529268333074633,3.0816640986132513,243.6375,127.0533807598208,0.0,0.0,0.0
n20.wav,136.73374600395167,19.090561175417964,174.98320782913515,8.68016069988908,8.790621364006604,16.469871689854372,0.9845547966278998,939.53125,891.03125,0.0,0.0,0.0
n1.wav,135.20011707683594,1.241302750933264,137.98145491548874,10.245673798675625,7.302515167156013,14.832959289643899,0.272762917881314,3633.8125,0.0,0.0,0.0,0.0
a10.wav,230.71722798421237,33.80575983806625,302.9586459768586,8.190937201435219,10.067686893443302,17.305819853297358,3.0606633031252244,209.8671875,87.57711132051624,0.7651658257813061,183.09375,19.71875
n19.wav,143.43657124457948,21.296859494744478,208.104049547024,10.020611836539533,10.491250405617233,17.04453832679626,1.8539022066585988,402.40972222222223,378.3148812854263,0.4119782681463553,417.5625,139.0625
n18.wav,134.68446929100918,14.92906848857615,165.72508276734098,11.136689247720197,12.303915967563002,19.59757058568888,1.7665503687673896,486.8125,377.5932004154736,0.3533100737534779,169.5625,0.0
n17.wav,134.10198161273573,19.374989965610084,183.67288861263066,8.659919081734715,9.500062056824921,16.72873549111636,1.7840550083627578,477.78125,254.55761706074685,0.0,0.0,0.0
n5.wav,140.01272807445588,9.240667501521006,157.40266732537447,11.297007105518889,8.766106522622858,16.797867060650294,0.10706638115631692,9259.25,0.0,0.0,0.0,0.0
a4.wav,211.1432657530615,40.442803536153434,455.0750658525448,-4.246580193751366,1.943738104749913,14.597007802943942,0.9161756537772204,167.13958333333332,115.94722295632923,0.5191662038070916,1552.9963235294117,1040.586729880678
a11.wav,224.20428542036487,37.866530065754844,327.0551841322501,7.256186976496196,9.998088405195977,18.468924085013306,2.4415765608650157,287.95535714285717,193.63895352944766,1.0463899546564353,160.35416666666666,15.412499436784707
n4.wav,142.85961396493494,1.5088404082376943,146.20423820619,15.904973091371817,12.230378524571181,18.6686005788979,0.3564824098210904,2767.375,0.0,0.0,0.0,0.0
n22.wav,129.81618423507913,16.522415605928487,192.77383505078618,8.520695862290179,9.912570391557045,18.957823002796673,1.0412599245086556,798.5625,556.2425771976647,0.6941732830057703,152.78125,4.71875
a7.wav,218.23523972311634,25.57788652553689,280.28906557997817,6.92941234096578,8.923844297747678,16.991754924823653,2.0244451754940913,272.7125,146.69759818245151,1.2146671052964546,280.2916666666667,74.27083625525941
n16.wav,134.4855255871866,17.3946915546379,170.66792639134988,9.527428395070134,9.957868746690885,16.822539297709483,1.8377707840389608,477.325,366.30408175790234,0.0,0.0,0.0
a6.wav,221.32137439084795,61.787659780013364,323.0289635169909,7.743341865012826,8.641407397767413,15.517704791111267,3.0298439630359035,209.8375,85.40160273671682,0.6059687926071807,180.3125,0.0
a9.wav,222.86461943333327,63.65399209705203,371.18004314331745,6.97598019092497,8.561244575457561,15.604125149802819,2.2808674423991873,260.0234375,130.5403581089574,0.8553252908996953,261.5625,80.79653909151473
a8.wav,234.51797533833323,52.80127005272545,367.06373389173825,7.6999529337810575,9.388125094581527,16.32845480877094,2.5441246621084432,258.0416666666667,140.1652329742373,0.8480415540361478,185.78125,39.78125
n14.wav,131.3750503255533,17.954976706368292,165.27256892295563,7.633114350298231,9.53156554563824,17.99470302091128,2.3712134684925013,336.8875,195.70138045629622,0.4742426936985002,144.75,0.0
a12.wav,226.1278164815814,35.306215987974994,330.12180261653094,9.645190342486064,10.326014946569352,18.011713876673294,2.302121468881393,344.3333333333333,234.99018522648512,0.0,0.0,0.0
n12.wav,138.96977470480624,7.560777006167027,165.05780338304052,12.391898777941154,11.462966354724776,17.202256396354795,1.4135524339605972,671.25,0.0,0.0,0.0,0.0
n2.wav,136.60513075024932,1.4613832036476069,140.9069744006968,12.823254401446032,9.086261701331678,16.15541555775313,0.35914702581369246,2755.125,0.0,0.0,0.0,0.0
n7.wav,136.7063249490883,9.20144380967165,169.26755535708458,7.007223231275354,8.124481329379568,16.812386886047058,4.500522382062203,193.64285714285714,124.92710246828929,0.0,0.0,0.0
a5.wav,200.0545296096079,31.73477876849801,274.3910384233424,-3.2533393442092957,1.7374630437375027,11.536399514425462,0.8959360898922544,165.32291666666666,137.05280696396332,0.4479680449461272,1806.7447916666667,1016.9723023317067
n11.wav,144.94293459228209,7.450741457510071,160.62466377105233,9.186640644943807,9.482721386983687,15.200000562650096,6.208047181158577,121.0625,38.12777653824047,0.0,0.0,0.0
a13.wav,220.48056467074485,34.310770591122576,268.04568595606173,3.344677229751661,4.452122108058117,11.40946507744778,2.223732163814936,330.3125,152.99219013745622,0.7412440546049787,161.35416666666666,7.743500859143464
